IDENTITY_ID,TARGET_FLAG,OB_VC_Actv_Days,IB_VC_Actv_Days,GPRS_Actv_Days,OB_SMS_Actv_Days,IB_SMS_Actv_Days,RECH_Actv_Days,RECH_AMT,GPRS_REV,GPRS_SUB_REV,GPRS_FLAG,RECH_FLAG,GPRS_VOL_MB,Tech_Awareness,NW Experience,Sites_Perc,Target_SUB_Perc,Target_Conv_Perc
15667,0,30,29,18,26,29,7,495,17.553,0,1,1,2.1,0,0.99,0.41,0.0407,0.0211
15668,1,16,29,5,10,22,5,350,13.078,31,1,1,6045.3,1,1,0.78,0.0465,0.0156
15669,1,26,27,29,1,0,3,719,0,0,1,1,4799.4,1,0.99,0.9,0.0901,0.1266
15670,1,11,13,1,2,3,2,80,0,0,1,1,0,0,0.85,0.9,0.0705,0.0186
15671,1,18,28,30,16,5,10,1100,74.643,328.01,1,1,13305.1,1,0.98,0.98,0.0903,0.0204
15672,0,3,2,7,6,11,2,90,15.3,15,1,1,39.1,0,1,0.96,0.0809,0.0286
15673,0,27,27,9,0,1,2,95,0.753,0,1,1,407.3,0,0.99,0.79,0.0466,0.0136
15674,1,4,26,3,0,5,2,95,0,0,1,1,0,0,0.98,0.78,0.0465,0.0156
15675,0,6,26,1,1,5,2,80,0,0,1,1,0,0,0.96,0.15,0.0163,-0.0121
15676,1,2,19,28,24,29,1,230,0.711,185.03,1,1,10292,1,0.93,0.67,0.0643,0.0194
15677,0,9,22,26,22,23,1,550,0,0,1,1,929.4,1,1,0.9,0.0901,0.1266
15678,1,28,21,0,0,1,2,450,0,0,0,1,0,0,0.96,0.96,0.0809,0.0286
15679,0,19,26,26,0,3,4,450,0,0,1,1,6625.6,1,1,0.97,0.0886,0.0408
15680,0,3,6,1,0,3,3,130,0,0,1,1,0.8,0,0.98,0.34,0.0293,0.006
15681,1,8,12,0,0,1,3,95,0,0,0,1,0,0,0.96,0.85,0.0756,0.0531
15682,0,4,29,1,9,22,2,80,0,0,1,1,0,0,0.99,0.99,0.0943,0.0147
15683,1,18,19,2,1,3,8,540,0,0,1,1,5.6,1,0.78,0.66,0.0467,0.021
15684,1,30,29,30,1,6,6,770,10.762,0,1,1,7581.8,1,0.99,0.12,0.0004,0.072
15685,0,21,19,1,0,1,2,400,65.25,0,1,1,5.2,0,0.98,0.69,0.0597,-0.0104
15686,0,9,28,6,1,7,2,100,0.773,0.01,1,1,152.6,0,0.99,0.98,0.0903,0.0204
15687,1,8,26,26,25,29,3,190,12.868,0.01,1,1,171.5,1,0.99,0.12,0.0004,0.072
15688,1,30,28,27,0,1,1,100,30.015,0,1,1,1342.2,1,0.97,0.92,0.0915,0.0083
15689,1,16,29,0,0,7,2,80,0,0,0,1,0,0,0.96,0.79,0.0466,0.0136
15690,1,13,28,0,0,1,1,100,0,0,0,1,0,0,0.98,0.93,0.0723,0.0294
15691,1,30,29,29,1,11,5,510,54.058,72,1,1,9498.1,1,0,0.96,0.0849,0.0671
15692,0,6,24,7,7,17,2,150,4.548,0,1,1,379.8,1,0.96,0.9,0.0901,0.1266
15693,1,30,30,24,7,5,13,1330,87.453,369,1,1,7560.3,1,0.95,0.97,0.0886,0.0408
15694,1,22,25,2,0,10,3,130,12.83,0,1,1,1.1,0,0.98,0.78,0.0465,0.0156
15695,1,10,7,0,0,4,5,230,0,0,0,1,0,0,0.99,0.96,0.0849,0.0671
15696,1,5,20,1,0,2,2,200,0,0,1,1,0.3,0,0.98,0.41,0.021,-0.0047
15697,0,30,26,1,30,30,7,220,1.5,16,1,1,37.2,0,0.97,0.92,0.0643,0.0382
15698,0,5,12,4,22,28,1,80,1.08,0,1,1,300.2,0,1,0.8,0.0556,0.0479
15699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0.0004,0.072
15700,1,9,6,3,20,22,1,200,1.5,170,1,1,230.3,0,0.95,0.9,0.0901,0.1266
15701,0,3,5,6,11,20,2,180,13.084,0.02,1,1,12.6,1,0.97,0.47,0.0273,-0.0075
15702,1,30,30,0,12,27,4,600,0,0,0,1,0,0,0.97,0.92,0.0643,0.0382
15703,0,24,28,9,5,0,6,350,8.1,4,1,1,0.2,0,0.98,0.78,0.0465,0.0156
15704,1,13,15,1,4,4,2,80,0,0,1,1,3.6,0,0.99,0.97,0.0886,0.0408
15705,1,1,26,0,0,2,0,0,0,0,0,0,0,0,0.98,0.46,0.0435,0.0131
15706,0,3,3,6,1,2,1,50,0,0,1,1,0.2,0,1,0.52,0.0394,0.0532
15707,0,29,26,30,12,13,2,450,77.086,0,1,1,537.8,1,0.97,0.99,0.1007,0.0918
15708,0,30,19,4,0,4,8,600,2.003,2,1,1,10.7,0,0.93,0.92,0.0915,0.0083
15709,0,17,14,1,28,30,1,100,0.75,0,1,1,0.9,0,0.97,0.69,0.0597,-0.0104
15710,0,15,18,1,30,30,3,250,19.38,0,1,1,3.9,0,0.92,0,0.0228,0.1219
15711,1,0,0,0,0,0,1,100,0,0,0,1,0,0,0,0.12,0.0004,0.072
15712,1,28,17,29,14,20,19,1545,111.595,574,1,1,12425.1,1,0.85,0.94,0.0616,-0.0008
15713,0,30,30,7,8,13,18,880,30.773,15,1,1,323.9,1,1,0.96,0.0849,0.0671
15714,0,5,21,1,22,26,4,260,0,0,1,1,1.3,0,0.91,0.69,0.0553,0.0016
15715,1,5,7,0,0,5,1,60,0,0,0,1,0,0,1,0.96,0.0849,0.0671
15716,0,2,0,9,0,0,1,200,15.899,75,1,1,413.5,0,1,0.69,0.0597,-0.0104
15717,0,2,25,1,0,6,1,40,0,0,1,1,0,0,0.96,0.69,0.0553,0.0016
15718,0,18,28,6,2,5,4,270,6.75,0,1,1,0,0,0.93,0.23,0.0269,0.0265
15719,0,30,29,16,9,18,2,650,117.824,0,1,1,1529.3,1,0.97,0.85,0.0756,0.0531
15720,0,16,14,1,17,20,5,245,0,0,1,1,0.1,0,0.92,0.85,0.0756,0.0531
15721,0,2,16,26,0,0,2,80,0,0,1,1,1765.1,1,1,0.69,0.0597,-0.0104
15722,0,3,25,7,0,2,1,250,0,0,1,1,4068.8,1,1,0.78,0.0465,0.0156
15723,1,0,18,2,0,16,1,50,4.127,18,1,1,200.3,0,1,0.9,0.0901,0.1266
15724,0,12,28,2,1,3,1,100,17.551,0,1,1,12.8,0,0.95,0.12,0.0164,-0.0004
15725,0,26,19,5,2,3,4,400,0,0,1,1,14.3,1,0.5,0.96,0.0809,0.0286
15726,1,30,27,8,26,27,7,300,3.01,0,1,1,5501.4,1,0.95,0.57,0.0339,0.0124
15727,1,6,12,0,0,4,1,45,0,0,0,1,0,0,0.98,0.47,0.0321,0.014
15728,0,4,21,6,30,30,2,150,5.4,0,1,1,4,0,0.75,0.92,0.0643,0.0382
15729,1,11,15,0,1,6,3,120,0,0,0,1,0,0,0.98,0.92,0.0997,0.0498
15730,0,18,17,4,3,1,3,400,0,0,1,1,0.7,0,0.96,0.96,0.0849,0.0671
15731,1,21,20,30,6,7,5,230,0,0,1,1,1043.9,1,0.95,0.23,0.0269,0.0265
15732,1,30,26,0,1,1,3,150,0,0,0,1,0,0,0.98,0.64,0.0123,-0.0083
15733,0,22,24,7,28,30,3,300,0,25.01,1,1,153.3,1,0.98,0.79,0.0466,0.0136
15734,0,20,26,14,5,10,1,350,0,0,1,1,1045.2,1,0.98,0.23,0.0269,0.0265
15735,0,15,13,1,0,2,2,95,40.519,0,1,1,53.1,1,0.99,0.12,0.0004,0.072
15736,1,28,16,27,2,0,2,100,0,0,1,1,854.7,1,0.99,0.8,0.0831,0.0223
15737,0,1,11,8,0,6,1,100,4.509,75,1,1,710.3,1,0.97,0.92,0.0643,0.0382
15738,0,3,29,4,1,4,3,150,57.771,0,1,1,15.8,0,1,0.96,0.0849,0.0671
15739,1,3,23,0,1,2,1,35,0,0,0,1,0,0,0.96,0.78,0.0465,0.0156
15740,0,6,17,30,1,19,2,390,0.228,30,1,1,10041,1,0.98,0.79,0.0466,0.0136
15741,0,24,17,1,0,7,6,500,0,0,1,1,0,0,1,0.73,0.0473,0.0574
15742,1,1,3,3,1,3,0,0,0,0,1,0,0.1,0,0.95,0.97,0.0886,0.0408
15743,0,25,23,14,0,4,2,150,108.756,0,1,1,1197.5,1,0.98,0.97,0.0886,0.0408
15744,1,23,26,16,7,27,6,600,22.495,1,1,1,3419.3,1,0.98,0.84,0.0552,-0.0028
15745,1,1,5,0,0,1,1,80,0,0,0,1,0,0,1,0.96,0.0849,0.0671
15746,1,25,28,0,0,1,8,395,0,0,0,1,0,0,0.96,0.97,0.0886,0.0408
15747,1,29,28,16,28,30,11,1140,56.711,0,1,1,21,0,0.99,0.96,0.0849,0.0671
15748,1,5,7,3,8,9,2,150,29.436,4.01,1,1,82.7,0,0.8,0.96,0.0849,0.0671
15749,0,21,27,13,0,9,5,340,92.93,27.01,1,1,1533.2,1,0.97,0.85,0.0756,0.0531
15750,1,4,10,27,0,7,2,80,11.132,5.02,1,1,3323.8,1,0.95,0.99,0.0943,0.0147
15751,1,27,28,0,8,9,8,650,0,0,0,1,0,0,1,0.96,0.0849,0.0671
15752,0,7,14,1,1,4,2,100,1.35,0,1,1,1.2,0,0.95,0.73,0.0523,0.0245
15753,0,28,30,3,2,3,4,1000,0,0,1,1,0,0,0.94,0.59,0.0458,0.0023
15754,1,2,15,24,13,24,3,140,21.945,23.02,1,1,1206,0,0.91,0.41,0.0344,0.0018
15755,1,5,9,1,25,23,4,160,20.717,0,1,1,4.4,0,1,0.96,0.0849,0.0671
15756,0,6,20,4,22,24,1,100,2.25,0,1,1,1.8,0,0.95,0.85,0.0756,0.0531
15757,0,23,27,1,5,9,15,520,0,0,1,1,0.1,0,0.98,0.93,0.0723,0.0294
15758,1,0,4,4,0,0,0,0,0,0,1,0,4.1,0,0,0.41,0.0407,0.0211
15759,0,5,29,26,30,30,4,210,19.285,33.04,1,1,443.6,1,0.96,0.69,0.0597,-0.0104
15760,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.54,0.0428,0.0098
15761,0,1,2,3,1,1,1,100,0,42,1,1,65.3,0,1,0.4,0.0315,-0.0036
15762,1,14,21,0,23,30,2,200,0,0,0,1,0,0,0.84,0.96,0.0849,0.0671
15763,1,1,27,25,19,27,3,383,5.53,249,1,1,2931.6,0,0.68,0.93,0.0723,0.0294
15764,1,24,16,27,8,16,2,100,0,5.03,1,1,1283,1,0.95,0.98,0.0903,0.0204
15765,1,14,27,0,2,27,2,200,0,0,0,1,0,0,1,0.8,0.0556,0.0479
15766,0,22,27,4,2,12,14,510,18.193,19,1,1,79.5,1,0.96,0.99,0.0943,0.0147
15767,0,30,29,24,2,5,5,1170,14.5,0,1,1,15135.7,1,0.99,0.78,0.0465,0.0156
15768,1,21,9,25,15,18,6,370,29.219,190.02,1,1,17851.4,1,0.98,0.92,0.0997,0.0498
15769,1,20,20,0,1,0,4,400,0,0,0,1,0,0,0.97,0.8,0.0831,0.0223
15770,1,2,22,16,27,30,3,150,37.215,1,1,1,795.5,1,1,0.92,0.0643,0.0382
15771,0,14,26,7,0,3,0,0,0,75,1,0,357.1,1,0.97,0.92,0.0643,0.0382
15772,1,6,3,4,1,3,2,150,0,0,1,1,161.6,1,0.94,0.64,0.0445,0.0345
15773,1,8,17,1,0,2,1,100,0,0,1,1,0,0,0.94,0.95,0.0744,0.018
15774,1,13,29,2,0,3,3,250,0,0,1,1,0.1,0,0.97,0.98,0.0903,0.0204
15775,0,17,20,24,11,15,5,570,12.832,0,1,1,4179.1,1,0.98,0.98,0.0903,0.0204
15776,0,9,8,1,1,2,2,200,17.25,0,1,1,0.8,0,1,0.57,0.0339,0.0124
